TITLE = "IJ-Ordered Data with Cell-Centered Variables"
VARIABLES = "X", "Y", "Temperature" 
ZONE I=5, J=5, DATAPACKING=BLOCK, VARLOCATION=(3=CELLCENTERED)
0.000000 0.250000 0.500000 0.750000 1.000000 
0.000000 0.250000 0.500000 0.750000 1.000000 
0.000000 0.250000 0.500000 0.750000 1.000000 
0.000000 0.250000 0.500000 0.750000 1.000000 
0.000000 0.250000 0.500000 0.750000 1.000000 
0.000000 0.000000 0.000000 0.000000 0.000000 
0.250000 0.250000 0.250000 0.250000 0.250000 
0.500000 0.500000 0.500000 0.500000 0.500000 
0.750000 0.750000 0.750000 0.750000 0.750000 
1.000000 1.000000 1.000000 1.000000 1.000000 
0.713926 0.545875 0.441885 0.381975 
0.559418 0.423815 0.343819 0.300922 
0.341262 0.256165 0.208944 0.180737 
0.105614 0.087418 0.071897 0.058275 
