TITLE = "IJ-Ordered Data with Cell-Centered Variables"
VARIABLES = "X", "Y", "Temperature" 
ZONE I=6, J=6, DATAPACKING=BLOCK, VARLOCATION=(3=CELLCENTERED)
0.000000 0.200000 0.400000 0.600000 0.800000 1.000000 
0.000000 0.200000 0.400000 0.600000 0.800000 1.000000 
0.000000 0.200000 0.400000 0.600000 0.800000 1.000000 
0.000000 0.200000 0.400000 0.600000 0.800000 1.000000 
0.000000 0.200000 0.400000 0.600000 0.800000 1.000000 
0.000000 0.200000 0.400000 0.600000 0.800000 1.000000 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.200000 0.200000 0.200000 0.200000 0.200000 0.200000 
0.400000 0.400000 0.400000 0.400000 0.400000 0.400000 
0.600000 0.600000 0.600000 0.600000 0.600000 0.600000 
0.800000 0.800000 0.800000 0.800000 0.800000 0.800000 
1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
0.759109 0.597548 0.489801 0.419600 0.378575 
0.638095 0.504179 0.414140 0.356507 0.324926 
0.468490 0.367661 0.303076 0.262507 0.238677 
0.279528 0.216935 0.179747 0.156386 0.139795 
0.087030 0.073465 0.061730 0.053090 0.044915 
